AUC,ACC,Recall,Precision,F1_score,classification_method,hyper_parameters,classification_time,experiment_time,data,model,seed,epoch_num,device
0.5166666666666666,0.6,0.0,0.0,0.0,MLP,"{'alpha': 0.0078125, 'hidden_layer_sizes': (256, 256)}",22.34810495376587,102.88399720191956,marker_Colorectal.txt,shallow_ae,42,200,mps
0.55,0.6,0.0,0.0,0.0,SVM,"{'C': 32, 'gamma': 0.0001220703125, 'kernel': 'rbf'}",0.3059110641479492,102.88399720191956,marker_Colorectal.txt,shallow_ae,42,200,mps
0.5833333333333334,0.6,0.0,0.0,0.0,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",54.45750188827515,102.88399720191956,marker_Colorectal.txt,shallow_ae,42,200,mps
0.5,0.6,0.0,0.0,0.0,MLP,"{'alpha': 0.001953125, 'hidden_layer_sizes': (64, 64)}",21.643693208694458,316.98943996429443,marker_Colorectal.txt,ae,42,200,mps
0.5,0.6,0.0,0.0,0.0,SVM,"{'C': 0.03125, 'gamma': 0.00048828125, 'kernel': 'rbf'}",0.4017977714538574,316.98943996429443,marker_Colorectal.txt,ae,42,200,mps
0.5,0.6,0.0,0.0,0.0,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",55.509926080703735,316.98943996429443,marker_Colorectal.txt,ae,42,200,mps
0.74,0.8,0.5,1.0,0.6666666666666666,MLP,"{'alpha': 0.0001220703125, 'hidden_layer_sizes': (64, 64)}",1359.5141050815582,3378.567152261734,marker_Colorectal.txt,cae,42,200,mps
0.7733333333333333,0.72,0.5,0.7142857142857143,0.588235294117647,SVM,"{'C': 0.03125, 'kernel': 'linear'}",1354.391862154007,3378.567152261734,marker_Colorectal.txt,cae,42,200,mps
0.7533333333333334,0.68,0.4,0.6666666666666666,0.5,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",521.2472467422485,3378.567152261734,marker_Colorectal.txt,cae,42,200,mps
0.64,0.64,0.5,0.5555555555555556,0.5263157894736842,MLP,"{'alpha': 0.5, 'hidden_layer_sizes': (256, 256)}",40.42262411117554,189.59926009178162,marker_Colorectal.txt,vae,42,200,mps
0.6533333333333333,0.64,0.1,1.0,0.18181818181818182,SVM,"{'C': 0.5, 'gamma': 0.03125, 'kernel': 'rbf'}",0.3991360664367676,189.59926009178162,marker_Colorectal.txt,vae,42,200,mps
0.54,0.64,0.1,1.0,0.18181818181818182,Random Forest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",59.19845986366272,189.59926009178162,marker_Colorectal.txt,vae,42,200,mps
0.8466666666666667,0.76,0.8,0.6666666666666666,0.7272727272727272,MLP,"{'alpha': 3.0517578125e-05, 'hidden_layer_sizes': (128, 128)}",30.59888792037964,102.14193177223206,marker_Colorectal.txt,pca,42,200,mps
0.7933333333333334,0.76,0.5,0.8333333333333334,0.625,SVM,"{'C': 32, 'gamma': 0.00048828125, 'kernel': 'rbf'}",11.93107295036316,102.14193177223206,marker_Colorectal.txt,pca,42,200,mps
0.7666666666666667,0.6,0.3,0.5,0.37499999999999994,Random Forest,"{'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",59.36316800117493,102.14193177223206,marker_Colorectal.txt,pca,42,200,mps
0.7933333333333333,0.72,0.4,0.8,0.5333333333333333,MLP,"{'alpha': 0.125, 'hidden_layer_sizes': (512, 512)}",49.8709979057312,120.94506502151489,marker_Colorectal.txt,rp,42,200,mps
0.7933333333333333,0.6,0.0,0.0,0.0,SVM,"{'C': 0.125, 'gamma': 0.0001220703125, 'kernel': 'rbf'}",0.744757890701294,120.94506502151489,marker_Colorectal.txt,rp,42,200,mps
0.7333333333333334,0.64,0.2,0.6666666666666666,0.30769230769230765,Random Forest,"{'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 300}",69.87642693519592,120.94506502151489,marker_Colorectal.txt,rp,42,200,mps
0.8066666666666666,0.72,0.4,0.8,0.5333333333333333,MLP,"{'alpha': 3.0517578125e-05, 'hidden_layer_sizes': (64, 64)}",1673.6596579551697,2080.805042028427,marker_Colorectal.txt,plain,42,200,mps
0.7799999999999999,0.68,0.4,0.6666666666666666,0.5,SVM,"{'C': 0.03125, 'kernel': 'linear'}",288.52735590934753,2080.805042028427,marker_Colorectal.txt,plain,42,200,mps
0.8200000000000001,0.84,0.6,1.0,0.7499999999999999,Random Forest,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",118.61799788475037,2080.805042028427,marker_Colorectal.txt,plain,42,200,mps
