AUC,ACC,Recall,Precision,F1_score,model,classification_time,experiment_time,data,seed,epoch_num,device
0.5,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,shallow_ae,0.09629106521606445,1.455735206604004,marker_Cirrhosis.txt,42,1,mps
0.5,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,shallow_ae,0.011353254318237305,1.455735206604004,marker_Cirrhosis.txt,42,1,mps
0.5,0.48936170212765956,0.0,0.0,0.0,shallow_ae,0.11315202713012695,1.455735206604004,marker_Cirrhosis.txt,42,1,mps
0.5,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,ae,0.022578954696655273,1.242922067642212,marker_Cirrhosis.txt,42,1,mps
0.5217391304347826,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,ae,0.008702278137207031,1.242922067642212,marker_Cirrhosis.txt,42,1,mps
0.5,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,ae,0.10913324356079102,1.242922067642212,marker_Cirrhosis.txt,42,1,mps
0.4891304347826087,0.48936170212765956,0.0,0.0,0.0,cae,6.341380834579468,25.52176284790039,marker_Cirrhosis.txt,42,1,mps
0.983695652173913,0.8936170212765957,0.9166666666666666,0.88,0.8979591836734694,cae,14.109507083892822,25.52176284790039,marker_Cirrhosis.txt,42,1,mps
0.9547101449275363,0.851063829787234,0.75,0.9473684210526315,0.8372093023255814,cae,2.3909459114074707,25.52176284790039,marker_Cirrhosis.txt,42,1,mps
0.5398550724637681,0.48936170212765956,0.0,0.0,0.0,vae,0.282163143157959,1.7903151512145996,marker_Cirrhosis.txt,42,1,mps
0.4809782608695652,0.5106382978723404,1.0,0.5106382978723404,0.676056338028169,vae,0.008468866348266602,1.7903151512145996,marker_Cirrhosis.txt,42,1,mps
0.5208333333333334,0.5106382978723404,0.041666666666666664,1.0,0.07999999999999999,vae,0.11025381088256836,1.7903151512145996,marker_Cirrhosis.txt,42,1,mps
0.9148550724637681,0.8085106382978723,0.75,0.8571428571428571,0.7999999999999999,pca,0.305419921875,1.2704038619995117,marker_Cirrhosis.txt,42,1,mps
0.9547101449275363,0.9148936170212766,0.8333333333333334,1.0,0.9090909090909091,pca,0.1323530673980713,1.2704038619995117,marker_Cirrhosis.txt,42,1,mps
0.9356884057971014,0.8723404255319149,0.7916666666666666,0.95,0.8636363636363635,pca,0.12120985984802246,1.2704038619995117,marker_Cirrhosis.txt,42,1,mps
0.907608695652174,0.851063829787234,0.8333333333333334,0.8695652173913043,0.851063829787234,rp,0.12920880317687988,0.9936678409576416,marker_Cirrhosis.txt,42,1,mps
0.9039855072463768,0.8723404255319149,0.9166666666666666,0.8461538461538461,0.8799999999999999,rp,0.018122196197509766,0.9936678409576416,marker_Cirrhosis.txt,42,1,mps
0.9628623188405797,0.8723404255319149,0.875,0.875,0.875,rp,0.1634209156036377,0.9936678409576416,marker_Cirrhosis.txt,42,1,mps
0.9927536231884058,0.8936170212765957,1.0,0.8275862068965517,0.9056603773584906,plain,4.126597166061401,11.315983057022095,marker_Cirrhosis.txt,42,1,mps
0.9836956521739131,0.9148936170212766,0.875,0.9545454545454546,0.9130434782608695,plain,6.827518939971924,11.315983057022095,marker_Cirrhosis.txt,42,1,mps
0.9846014492753623,0.8936170212765957,0.7916666666666666,1.0,0.8837209302325582,plain,0.3618311882019043,11.315983057022095,marker_Cirrhosis.txt,42,1,mps
